MetabolightsId	InChIKey	HasPathways	KEGGPathways	WikiPathways	ReactomePathways
MTBLC10418	JSNRRGGBADWTMC-NTCAYCPXSA-N	0			
MTBLC104242	OGWKCGZFUXNPDA-YPKBQUEXSA-N	0			
MTBLC104243	RKUNBYITZUJHSG-UHFFFAOYSA-N	0			
MTBLC10429	QZPQTZZNNJUOLS-UHFFFAOYSA-N	0			
MTBLC10432	JWAZRIHNYRIHIV-UHFFFAOYSA-N	0			
MTBLC10435	SIQKNJDHWYZFFT-IPJQOSJUSA-N	0			
MTBLC10436	IHPKGUQCSIINRJ-UHFFFAOYSA-N	0			
MTBLC104362	KISJWPWNABZPGN-IGIWICMZSA-N	0			
MTBLC10440	PGBNIHXXFQBCPU-ILXRZTDVSA-N	0			
MTBLC10443	YOVSPTNQHMDJAG-QLFBSQMISA-N	0			
MTBLC10447	FUWUEFKEXZQKKA-UHFFFAOYSA-N	0			
MTBLC104586	GRTNLBQYBYZCCM-ULKDXPJMSA-N	0			
MTBLC104873	UYSHBKYVDAZLKJ-GMUISZSCSA-N	0			
MTBLC10525	WILFWCJMOXHLEQ-ORWDRJNOSA-N	0			
MTBLC10534	ALCPNMZQIUFCEL-KVQBGUIXSA-N	0			
MTBLC10535	WRTKMPONLHLBBL-KVQBGUIXSA-N	0			
MTBLC105390	RAXNGZMLLUDZAC-KGLIPLIRSA-N	0			
MTBLC105441	DIIOKAPUKRNPAJ-UHFFFAOYSA-N	0			
MTBLC10545	HKKHTABTHSUDBP-WMIWJMKMSA-N	1		WP1879,WP3543,WP1857,WP2670,WP3565,WP2650,WP1850,WP111,WP1119,WP3217,WP1002,WP295,WP59,WP772,WP884,WP1339,WP542	R-HSA-140180,R-HSA-1474151,R-HSA-197264,R-HSA-2162123,R-HSA-2559586,R-HSA-5693548,R-HSA-917937,R-HSA-917977,R-MTU-870331,R-SSC-140180,R-SSC-2162123,R-SSC-917937,R-SSC-917977,R-CEL-917937,R-CFA-140180,R-CFA-197264,R-CFA-2162123,R-CFA-917937,R-CFA-917977,R-BTA-140180,R-BTA-197264,R-BTA-2162123,R-BTA-917937,R-BTA-917977,R-MMU-140180,R-MMU-197264,R-MMU-2162123,R-MMU-917937,R-MMU-917977,R-GGA-140180,R-GGA-197264,R-GGA-2162123,R-GGA-917937,R-GGA-917977,R-RNO-140180,R-RNO-197264,R-RNO-2162123,R-RNO-917937,R-RNO-917977,R-XTR-140180,R-XTR-197264,R-XTR-2162123,R-XTR-917937,R-XTR-917977,R-OSA-917937,R-DRE-140180,R-DRE-197264,R-DRE-2162123,R-DRE-917937,R-DRE-917977,R-DME-917937,R-TGU-140180,R-TGU-197264,R-TGU-2162123,R-TGU-917937,R-TGU-917977,R-ATH-917937
MTBLC105451	VPRXUYOVNXDRRE-UHFFFAOYSA-N	0			
MTBLC105529	UDGBSSTULRPTIY-UHFFFAOYSA-N	0			
MTBLC10556	FQWLMRXWKZGLFI-YVYUXZJTSA-N	0			
MTBLC105566	PHKDPTVXVFILDF-UHFFFAOYSA-N	0			
MTBLC10565	QUAADUAOVLZBJM-WDSKDSINSA-N	0			
MTBLC105685	HSSSADMXQPKIEB-GXYAQEMJSA-N	0			
MTBLC105726	NVAVJMPQPXAMKX-UHFFFAOYSA-N	0			
MTBLC10577	YKFLAYDHMOASIY-UHFFFAOYSA-N	0			
MTBLC10588	VHFVKMTVMIZMIK-UHFFFAOYSA-N	0			
MTBLC10589	GPSDUZXPYCFOSQ-UHFFFAOYSA-N	0			
MTBLC106	YUKCLPPRYNXRAF-HNKURNSESA-N	0			
MTBLC10625	XWHHYOYVRVGJJY-QMMMGPOBSA-N	0			
MTBLC106304	YBZJYHMAYFENAR-XQDVMTGESA-N	0			
MTBLC106363	YBZJYHMAYFENAR-XQDVMTGESA-N	0			
MTBLC10642	CDAISMWEOUEBRE-CDRYSYESSA-N	0			
MTBLC106481	ADZLWSMFHHHOBV-BYPYZUCNSA-L	0			
MTBLC106707	RMSOWPIMGWWPCR-PELKAZGASA-M	0			
MTBLC106723	DAWSYIQAGQMLFS-SFHVURJKSA-N	0			
MTBLC106739	MHKWHDPIKFAACP-SVKJOJBUSA-N	0			
MTBLC106884	LUPPRXHPUZNWES-BZRROHBCSA-M	0			
MTBLC10696	YYLQUHNPNCGKJQ-LWMBPPNESA-N	0			
MTBLC10698	OINNEUNVOZHBOX-KWBDAJKESA-N	0			
MTBLC107054	AKWQOYCJFYESAA-UHFFFAOYSA-N	0			
MTBLC107202	RXPRRQLKFXBCSJ-UHFFFAOYSA-N	0			
MTBLC10723	MGNBGCRQQFMNBM-YJHHLLFWSA-N	1	ko00062,ko00071,ko01100,ko01212	WP143,WP1817,WP368,WP3602,WP2102,WP1107,WP1061,WP989,WP401,WP418,WP419,WP1307,WP763,WP871	R-HSA-77288,R-HSA-77346,R-XTR-77288,R-XTR-77346,R-SSC-77288,R-SSC-77346,R-CEL-77346,R-CFA-77288,R-CFA-77346,R-BTA-77288,R-BTA-77346,R-MMU-77288,R-MMU-77346,R-GGA-77288,R-GGA-77346,R-RNO-77288,R-RNO-77346,R-DRE-77288,R-DRE-77346,R-DME-77288,R-DME-77346,R-TGU-77288,R-TGU-77346,R-SCE-77346,R-DDI-77346
MTBLC107322	XICOFRVOBQTUQL-UHFFFAOYSA-N	0			
MTBLC107367	KWNZYAUOWBBMJN-UHFFFAOYSA-N	0			
MTBLC107408	YMXNPWMREYPIKK-UHFFFAOYSA-N	0			
MTBLC107531	XUIAATHNEQWORS-UHFFFAOYSA-N	0			
MTBLC107568	BDXFAAMOJLRGLA-UHFFFAOYSA-N	0			
MTBLC107726	KMNUJIARVHVQCF-SVCWYOIUSA-N	0			
MTBLC107737	PHWISBHSBNDZDX-LSDHHAIUSA-N	0			
MTBLC10782	NDTYTMIUWGWIMO-SNVBAGLBSA-N	0			
MTBLC107910	ZTGKFWXUZVCBAW-UHFFFAOYSA-N	0			
MTBLC107916	PGZXJQIYYBDFMR-UHFFFAOYSA-N	0			
MTBLC107993	MAWWLDSICPSISK-UHFFFAOYSA-N	0			
MTBLC108	YAHJJEDSBUXVRQ-KXBFYZLASA-N	0			
MTBLC108000	VARYQVLCDBKQNL-UHFFFAOYSA-N	0			
MTBLC108006	TVVKLIKJOPJUQU-UHFFFAOYSA-N	0			
MTBLC108312	ICFWXMWHAMIZGF-WNAWUNHNSA-N	0			
MTBLC108433	IQNAPJUAVHYVQC-UHFFFAOYSA-N	0			
MTBLC108437	GVNBQXUVOARBAP-UHFFFAOYSA-N	0			
MTBLC108491	MDXJJOKTGDJRNN-UHFFFAOYSA-N	0			
MTBLC108517	JWVXCFSNEOMSHH-YACUFSJGSA-N	0			
MTBLC108532	VAYNONGSXQBKMT-DXQCBLCSSA-N	0			
MTBLC108533	OSANRKNXFPXRGW-UHFFFAOYSA-N	0			
MTBLC10860	YNOXCRMFGMSKIJ-WVBDSBKLSA-K	0			
MTBLC108633	JTDPHURHZMZJHD-QSCHNALKSA-N	0			
MTBLC108918	GPXZOHHIWJNYTJ-FOBNYNKYSA-N	0			
MTBLC109	UUJBHSNXZMGYBT-ZDUSSCGKSA-N	0			
MTBLC109076	ZNFWXGFMLGEOGM-UHFFFAOYSA-N	0			
MTBLC109146	AFLXUGKIZQFJJI-FOQOAFKKSA-N	0			
MTBLC109191	QXHGPKXXVDTTNH-UHFFFAOYSA-N	0			
MTBLC109225	WFNNTEWBUJMZOD-UHFFFAOYSA-N	0			
